Raster_File,Count_t1,Count_t2,change,
Abelmoschus esculentus,545,1550,184.4,
Actinidia deliciosa,5159,3655,-29.2,
Anacardium occidentale,0,0,0,
Bertholletia excelsa Bonpl,0,0,0,
Brassica napus,21498,17746,-17.5,
Brassica nigra,3515,3357,-4.5,
Castanea_sativa_Mill,13298,9096,-31.6,
Citrullus lanatus,17902,21206,18.5,
Cocos nucifera,0,0,0,
Coffea arabica,0,0,0,
Coffea canephora,0,0,0,
Coffea liberica,0,0,0,
Cola acuminata,0,0,0,
Cola nitida,0,0,0,
Cucumis melo,15154,17914,18.2,
Cucumis sativus,21660,22663,4.6,
Cucurbita maxima,19237,18071,-6.1,
Cucurbita moschata,2052,4347,111.8,
Cucurbita pepo,22702,22207,-2.2,
Elettaria cardamomum,0,0,0,
Fagopyrum esculentum,20412,19497,-4.5,
Fragaria ananassa,19118,15123,-20.9,
Fragaria chiloensis,845,795,-5.9,
Fragaria moschata,8112,6048,-25.4,
Fragaria virginiana,993,892,-10.2,
Fragaria viridis,10065,6279,-37.6,
Fragaria_vesca,25819,15937,-38.3,
Glycine max,10480,13899,32.6,
Glycine soja,0,0,0,
Gossypium arboreum,0,0,656.3,
Gossypium barbadense,0,0,0,
Gossypium herbaceum,8962,14229,58.8,
Gossypium hirsutum,0,160,0,
Helianthus annuus,25513,25642,0.5,
Malus domestica,23318,17325,-25.7,
Mangifera indica,0,0,0,
Myristica fragrans,0,0,0,
Persea americana,603,986,63.5,
Prunus armeniaca,19325,15948,-17.5,
Prunus cerasus,19035,17528,-7.9,
Prunus domestica,20118,12521,-37.8,
Prunus persica,16356,15149,-7.4,
Prunus_avium,20239,13986,-30.9,
Prunus_spinosa,18736,14817,-20.9,
Pyrus communis,21473,19364,-9.8,
Ribes nigrum,20269,10349,-48.9,
Ribes rubrum,20320,14347,-29.4,
Rubus chamaemorus,10193,4167,-59.1,
Rubus flagellaris,0,0,0,
Rubus_idaeus,24744,15139,-38.8,
Sesamum indicum,0,0,0,
Sinapis alba,16993,11572,-31.9,
Solanum melongena,7839,11702,49.3,
Theobroma cacao,0,0,0,
Vaccinium anguolium,0,13,0,
Vaccinium corymbosum,3236,3371,4.2,
Vaccinium oxycoccus,8693,3563,-59,
Vaccinium_myrtillus,21394,10525,-50.8,
Vanilla planifolia,0,0,0,
Vanilla pompona,0,0,0,
Vicia faba,17933,13485,-24.8,
